名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
中骏广场,丰泽街,120.643031475589,31.2885421224929,56.3,16438,2室1厅,34,西南,精装,高楼层(共22层),塔楼,130
泉州中骏商城,南环路,105.175662165642,31.0103486306263,29,7074,1室1厅,41,北,精装,中楼层(共26层),塔楼,70
兴进豪园,石狮中心,120.997538223063,31.4000233990434,150,8621,3室2厅,174,南北,精装,中楼层(共17层),板楼,30
金亚花园,泉秀街,105.931705367599,30.3585387262682,182.39,13000,3室2厅,140,东南,精装,中楼层(共9层),板楼,50
医药宿舍,西湖,121.30091503786,31.0933328372294,135,10757,3室2厅,125,南西南,精装,高楼层(共7层),暂无数据,270
海景国际花园天域,赤山水库,121.61862144249,31.2609665566608,370,18984,4室2厅,194,南北,精装,低楼层(共34层),板塔结合,130
嘉琳广场,洛江区,104.065609607971,30.5142281677285,128,13626,3室2厅,93,西北,简装,中楼层(共34层),板楼,110
海悦府,东海,129.62202407853,44.5675416741589,273,26436,3室2厅,103,东南,精装,中楼层(共21层),板塔结合,70
海悦府,东海,111.269419177087,23.4715593575417,273,26436,3室2厅,103,东南,精装,中楼层(共21层),板塔结合,70
中骏四季家园,南安中心,118.633583297927,28.7428684801184,145,11265,3室2厅,128,南,精装,低楼层(共31层),板塔结合,70
